Operator,Test Command,Benchmark Command
prod,python -m pytest tests/test_general_reduction_ops.py -m prod -vs,python -m pytest benchmark/test_reduction_perf.py -m prod -vs
quantize,python -m pytest tests/test_unary_pointwise_ops.py -m quantize -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m quantize -vs
quantized_gru,python -m pytest tests/test_special_ops.py -m quantized_gru -vs,N/A - benchmark requires YAML configuration for 3D shapes
quantized_lstm,python -m pytest tests/test_special_ops.py -m quantized_lstm -vs,python -m pytest benchmark/test_special_perf.py -m quantized_lstm -vs
rad2deg,python -m pytest tests/test_unary_pointwise_ops.py -m rad2deg -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m rad2deg -vs
randint,python -m pytest tests/test_special_ops.py -m randint -vs,python -m pytest benchmark/test_special_perf.py -m randint -vs
randint_like,python -m pytest tests/test_tensor_constructor_ops.py -m randint_like -vs,python -m pytest benchmark/test_tensor_constructor_perf.py -m randint_like -vs
randn,python -m pytest tests/test_tensor_constructor_ops.py -m randn -vs,python -m pytest benchmark/test_tensor_constructor_perf.py -m randn -vs
randn_like,CUDA_VISIBLE_DEVICES=5 /usr/bin/python3 -m pytest tests/test_tensor_constructor_ops.py -m randn_like -vs,CUDA_VISIBLE_DEVICES=5 /usr/bin/python3 -m pytest benchmark/test_tensor_constructor_perf.py -m randn_like -vs
real,python -m pytest tests/test_unary_pointwise_ops.py -m real -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m real -vs
reflection_pad1d_backward,CUDA_VISIBLE_DEVICES=7 /usr/bin/python3 -m pytest tests/test_special_ops.py -m reflection_pad1d_backward -vs --log-cli-level=DEBUG,CUDA_VISIBLE_DEVICES=7 /usr/bin/python3 -m pytest benchmark/test_special_perf.py -m reflection_pad1d_backward -vs
reflection_pad2d,CUDA_VISIBLE_DEVICES=1 python -m pytest tests/test_special_ops.py -m reflection_pad2d -vs --log-cli-level=DEBUG,CUDA_VISIBLE_DEVICES=1 python -m pytest benchmark/test_special_perf.py -m reflection_pad2d -vs
reflection_pad3d,python -m pytest tests/test_special_ops.py -m reflection_pad3d -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m reflection_pad3d -vs
reflection_pad3d_backward,python -m pytest tests/test_special_ops.py -m reflection_pad3d_backward -vs,python -m pytest benchmark/test_special_perf.py -m reflection_pad3d_backward -vs
remainder,CUDA_VISIBLE_DEVICES=2 python -m pytest tests/test_binary_pointwise_ops.py -m remainder -vs --log-cli-level=DEBUG,CUDA_VISIBLE_DEVICES=2 python -m pytest benchmark/test_binary_pointwise_perf.py -m remainder -vs
renorm,python -m pytest tests/test_norm_ops.py -m renorm -vs,python -m pytest benchmark/test_special_perf.py -m renorm -vs
renorm_,python -m pytest tests/test_special_ops.py -m renorm_ -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m renorm_ -vs
repeat,python -m pytest tests/test_unary_pointwise_ops.py -m repeat -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m repeat -vs
replication_pad1d_backward,python -m pytest tests/test_special_ops.py -m replication_pad1d_backward -vs,python -m pytest benchmark/test_special_perf.py -m replication_pad1d_backward -vs
replication_pad2d_backward,python -m pytest tests/test_special_ops.py -m replication_pad2d_backward -vs,python -m pytest benchmark/test_special_perf.py -m replication_pad2d_backward -vs
replication_pad3d_backward,python -m pytest tests/test_special_ops.py -m replication_pad3d_backward -vs,python -m pytest benchmark/test_special_perf.py -m replication_pad3d_backward -vs
reshape,python -m pytest tests/test_special_ops.py -m reshape -vs,python -m pytest benchmark/test_special_perf.py -m reshape -vs
resize,python -m pytest tests/test_unary_pointwise_ops.py -m resize -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m resize -vs
resize_,python -m pytest tests/test_special_ops.py -m resize_ -vs,python -m pytest benchmark/test_special_perf.py -m resize_ -vs
resize_as,python -m pytest tests/test_special_ops.py -m resize_as -vs,python -m pytest benchmark/test_special_perf.py -m resize_as -vs
resolve_neg,python -m pytest tests/test_special_ops.py -m resolve_neg -vs,python -m pytest benchmark/test_special_perf.py -m resolve_neg -vs
result_type,python -m pytest tests/test_binary_pointwise_ops.py -m result_type -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m result_type -vs
rnn_relu,python -m pytest tests/test_special_ops.py -m rnn_relu -vs,python -m pytest benchmark/test_special_perf.py -m rnn_relu -vs
rnn_tanh,python -m pytest tests/test_special_ops.py -m rnn_tanh -vs,python -m pytest benchmark/test_special_perf.py -m rnn_tanh -vs
roll,python -m pytest tests/test_unary_pointwise_ops.py -m roll -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m roll -vs
rot90,python -m pytest tests/test_special_ops.py -m rot90 -vs,python -m pytest benchmark/test_special_perf.py -m rot90 -vs
round_,python -m pytest tests/test_unary_pointwise_ops.py -m round -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m 'round or round_' -vs
rrelu_with_noise,python -m pytest tests/test_unary_pointwise_ops.py -m rrelu_with_noise -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m rrelu_with_noise -vs
rrelu_with_noise_,python -m pytest tests/test_unary_pointwise_ops.py -m rrelu_with_noise_ -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m rrelu_with_noise_ -vs
rrelu_with_noise_functional,python -m pytest tests/test_special_ops.py -m rrelu_with_noise_functional -vs,python -m pytest benchmark/test_special_perf.py -m rrelu_with_noise_functional -vs
rsqrt,python -m pytest tests/test_unary_pointwise_ops.py -m rsqrt -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m rsqrt -vs
scaled_dot_product_attention,python -m pytest tests/test_attention_ops.py -m scaled_dot_product_attention -vs,python -m pytest benchmark/test_attention_perf.py -m scaled_dot_product_attention -vs
scatter_add,python -m pytest tests/test_reduction_ops.py -m scatter_add -vs,python -m pytest benchmark/test_select_and_slice_perf.py -m scatter_add -vs
scatter_reduce,python -m pytest tests/test_reduction_ops.py -m scatter_reduce -vs && python -m pytest tests/test_reduction_ops.py -m scatter_reduce_ -vs,python -m pytest benchmark/test_select_and_slice_perf.py -m scatter_reduce -vs && python -m pytest benchmark/test_select_and_slice_perf.py -m scatter_reduce_ -vs
searchsorted,python -m pytest tests/test_special_ops.py -m searchsorted -vs,python -m pytest benchmark/test_special_perf.py -m searchsorted -vs
segment_reduce,python -m pytest tests/test_special_ops.py -m segment_reduce -vs,python -m pytest benchmark/test_special_perf.py -m segment_reduce -vs
select,python -m pytest tests/test_special_ops.py -m select -vs,python -m pytest benchmark/test_special_perf.py -m select -vs
select_backward,python -m pytest tests/test_special_ops.py -m select_backward -vs,python -m pytest benchmark/test_special_perf.py -m select_backward -vs
select_scatter,python -m pytest tests/test_reduction_ops.py -m select_scatter -vs,python -m pytest benchmark/test_select_and_slice_perf.py -m select_scatter -vs
sign_,python -m pytest tests/test_unary_pointwise_ops.py -m sign_ -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m sign_ -vs
sin,python -m pytest tests/test_unary_pointwise_ops.py -m 'sin or sin_' -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m sin -vs
sinc,python -m pytest tests/test_unary_pointwise_ops.py -m sinc -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m sinc -vs
sinh,python -m pytest tests/test_unary_pointwise_ops.py -m sinh -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m sinh -vs
size,CUDA_VISIBLE_DEVICES=3 /usr/bin/python3 -m pytest tests/test_special_ops.py -m size -vs,CUDA_VISIBLE_DEVICES=3 /usr/bin/python3 -m pytest benchmark/test_special_perf.py -m size -vs
slice,python -m pytest tests/test_reduction_ops.py -k 'test_accuracy_slice and not backward and not scatter' -v,python -m pytest benchmark/test_select_and_slice_perf.py::test_slice_perf -vs
slice_backward,python -m pytest tests/test_reduction_ops.py -m slice_backward -vs,python -m pytest benchmark/test_select_and_slice_perf.py -m slice_backward -vs
smooth_l1_loss_backward,python -m pytest tests/test_special_ops.py -m smooth_l1_loss_backward -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m smooth_l1_loss_backward -vs
soft_margin_loss_backward,python -m pytest tests/test_special_ops.py -m soft_margin_loss_backward -vs,python -m pytest benchmark/test_special_perf.py -m soft_margin_loss_backward -vs
sparse_sampled_addmm,python -m pytest tests/test_special_ops.py -m sparse_sampled_addmm -vs,python -m pytest benchmark/test_special_perf.py -m sparse_sampled_addmm -vs
special_airy_ai,python -m pytest tests/test_unary_pointwise_ops.py -m special_airy_ai -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_airy_ai -vs
special_bessel_j0,python -m pytest tests/test_unary_pointwise_ops.py -m special_bessel_j0 -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_bessel_j0 -vs
special_bessel_j1,python -m pytest tests/test_unary_pointwise_ops.py -m special_bessel_j1 -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_bessel_j1 -vs
special_bessel_y0,python -m pytest tests/test_unary_pointwise_ops.py -m special_bessel_y0 -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_bessel_y0 -vs
special_bessel_y1,python -m pytest tests/test_special_ops.py -m special_bessel_y1 -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_bessel_y1 -vs
special_chebyshev_polynomial_t,python -m pytest tests/test_binary_pointwise_ops.py -m special_chebyshev_polynomial_t -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m special_chebyshev_polynomial_t -vs
special_chebyshev_polynomial_u,python -m pytest tests/test_binary_pointwise_ops.py -m 'special_chebyshev_polynomial_u or special_chebyshev_polynomial_u_' -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m special_chebyshev_polynomial_u -vs
special_chebyshev_polynomial_v,python -m pytest tests/test_binary_pointwise_ops.py -m special_chebyshev_polynomial_v -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m special_chebyshev_polynomial_v -vs
special_chebyshev_polynomial_w,python -m pytest tests/test_binary_pointwise_ops.py -m special_chebyshev_polynomial_w -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m special_chebyshev_polynomial_w -vs
special_digamma,python -m pytest tests/test_unary_pointwise_ops.py -m special_digamma -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_digamma -vs
special_entr,python -m pytest tests/test_unary_pointwise_ops.py -m special_entr -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_entr -vs
special_erf,python -m pytest tests/test_unary_pointwise_ops.py -m special_erf -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_erf -vs
erfc,python -m pytest tests/test_unary_pointwise_ops.py -m erfc -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m erfc -vs
special_erfcx,python -m pytest tests/test_unary_pointwise_ops.py -m special_erfcx -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_erfcx -vs
special_erfinv,python -m pytest tests/test_unary_pointwise_ops.py -m special_erfinv -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_erfinv -vs
special_exp2,python -m pytest tests/test_unary_pointwise_ops.py -m special_exp2 -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_exp2 -vs
special_expit,python -m pytest tests/test_unary_pointwise_ops.py -m special_expit -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_expit -vs
special_expm1,python -m pytest tests/test_unary_pointwise_ops.py -m expm1 -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_expm1 -vs
special_gammainc,python -m pytest tests/test_binary_pointwise_ops.py -m special_gammainc -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m special_gammainc -vs
special_gammaincc,python -m pytest tests/test_binary_pointwise_ops.py -m special_gammaincc -vs --cache-clear,python -m pytest benchmark/test_binary_pointwise_perf.py -m special_gammaincc -vs
special_gammaln,python -m pytest tests/test_unary_pointwise_ops.py -m special_gammaln -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_gammaln -vs
special_hermite_polynomial_h,python -m pytest tests/test_special_ops.py -m special_hermite_polynomial_h -vs,python -m pytest benchmark/test_special_perf.py -m special_hermite_polynomial_h -vs
special_hermite_polynomial_he,python -m pytest tests/test_binary_pointwise_ops.py -m special_hermite_polynomial_he -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m special_hermite_polynomial_he -vs
special_i0,python -m pytest tests/test_unary_pointwise_ops.py -m special_i0 -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_i0 -vs
special_laguerre_polynomial_l,python -m pytest tests/test_binary_pointwise_ops.py -m special_laguerre_polynomial_l -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m special_laguerre_polynomial_l -vs
special_legendre_polynomial_p,python -m pytest tests/test_special_ops.py -m special_legendre_polynomial_p -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m special_legendre_polynomial_p -vs
special_log1p,python -m pytest tests/test_unary_pointwise_ops.py -m special_log1p -vs && python -m pytest tests/test_unary_pointwise_ops.py -m log1p -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_log1p -vs && python -m pytest benchmark/test_unary_pointwise_perf.py -m log1p -vs
special_log_ndtr,python -m pytest tests/test_unary_pointwise_ops.py -m special_log_ndtr -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_log_ndtr -vs
special_log_softmax,python -m pytest tests/test_special_ops.py -m special_log_softmax -vs,python -m pytest benchmark/test_reduction_perf.py -m special_log_softmax -vs
special_logit,CUDA_VISIBLE_DEVICES=3 python -m pytest tests/test_unary_pointwise_ops.py -m special_logit -vs,CUDA_VISIBLE_DEVICES=3 python -m pytest benchmark/test_unary_pointwise_perf.py -m special_logit -vs
special_logsumexp,python -m pytest tests/test_reduction_ops.py -m special_logsumexp -vs,python -m pytest benchmark/test_reduction_perf.py -m special_logsumexp -vs
special_modified_bessel_i0,python -m pytest tests/test_special_ops.py -m special_modified_bessel_i0 -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_modified_bessel_i0 -vs
special_modified_bessel_i1,python -m pytest tests/test_unary_pointwise_ops.py -m special_modified_bessel_i1 -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_modified_bessel_i1 -vs
special_modified_bessel_k0,python -m pytest tests/test_unary_pointwise_ops.py -m special_modified_bessel_k0 -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_modified_bessel_k0 -vs
special_modified_bessel_k1,python -m pytest tests/test_unary_pointwise_ops.py -m special_modified_bessel_k1 -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_modified_bessel_k1 -vs
special_multigammaln,python -m pytest tests/test_unary_pointwise_ops.py -m special_multigammaln -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_multigammaln -vs
special_ndtr,python -m pytest tests/test_unary_pointwise_ops.py -m special_ndtr -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_ndtr -vs
special_ndtri,python -m pytest tests/test_unary_pointwise_ops.py -m special_ndtri -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_ndtri -vs
special_polygamma,python -m pytest tests/test_special_ops.py -m special_polygamma -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_polygamma -vs
special_psi,python -m pytest tests/test_unary_pointwise_ops.py -m special_psi -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_psi -vs
special_round,python -m pytest tests/test_unary_pointwise_ops.py -m special_round -vs && python -m pytest tests/test_unary_pointwise_ops.py -m special_round_out -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_round -vs
special_scaled_modified_bessel_k0,python -m pytest tests/test_unary_pointwise_ops.py -m special_scaled_modified_bessel_k0 -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_scaled_modified_bessel_k0 -vs
special_scaled_modified_bessel_k1,PYTHONPATH=src CUDA_VISIBLE_DEVICES=0 python -m pytest tests/test_unary_pointwise_ops.py -m special_scaled_modified_bessel_k1 -vs,PYTHONPATH=src CUDA_VISIBLE_DEVICES=0 python -m pytest benchmark/test_unary_pointwise_perf.py -m special_scaled_modified_bessel_k1 -vs
special_shifted_chebyshev_polynomial_t,python -m pytest tests/test_special_ops.py -m special_shifted_chebyshev_polynomial_t -vs,python -m pytest benchmark/test_special_perf.py -m special_shifted_chebyshev_polynomial_t -vs
special_shifted_chebyshev_polynomial_u,python -m pytest tests/test_binary_pointwise_ops.py -m special_shifted_chebyshev_polynomial_u -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m special_shifted_chebyshev_polynomial_u -vs
special_shifted_chebyshev_polynomial_v,python -m pytest tests/test_binary_pointwise_ops.py -m shifted_chebyshev_polynomial_v -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m shifted_chebyshev_polynomial_v -vs
special_shifted_chebyshev_polynomial_w,python -m pytest tests/test_binary_pointwise_ops.py -m special_shifted_chebyshev_polynomial_w -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m special_shifted_chebyshev_polynomial_w -vs
special_sinc,python -m pytest tests/test_unary_pointwise_ops.py -m sinc -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m sinc -vs
special_softmax,python -m pytest tests/test_special_ops.py -m special_softmax -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m special_softmax -vs
special_spherical_bessel_j0,python -m pytest tests/test_unary_pointwise_ops.py -m special_spherical_bessel_j0 -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m special_spherical_bessel_j0 -vs
special_xlog1py,python -m pytest tests/test_binary_pointwise_ops.py -m special_xlog1py -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m special_xlog1py -vs
special_xlogy,python -m pytest tests/test_binary_pointwise_ops.py -m xlogy -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m 'xlogy or xlogy_' -vs
special_zeta,python -m pytest tests/test_binary_pointwise_ops.py -m special_zeta -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m special_zeta -vs
split_with_sizes_copy,python -m pytest tests/test_special_ops.py -m split_with_sizes_copy -vs,python -m pytest benchmark/test_special_perf.py -m split_with_sizes_copy -vs
square_,python -m pytest tests/test_unary_pointwise_ops.py -m square_ -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m square_ -vs
squeeze,python -m pytest tests/test_special_ops.py -m 'squeeze or squeeze_' -vs,python -m pytest benchmark/test_special_perf.py -m squeeze -vs
squeeze_copy,python -m pytest tests/test_unary_pointwise_ops.py -m squeeze_copy -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_unary_pointwise_perf.py -m squeeze_copy -vs
stack,CUDA_VISIBLE_DEVICES=2 /usr/bin/python3 -m pytest tests/test_special_ops.py -m stack -vs,CUDA_VISIBLE_DEVICES=2 /usr/bin/python3 -m pytest benchmark/test_tensor_concat_perf.py -m stack -vs
std_mean,python -m pytest tests/test_reduction_ops.py -m std_mean -vs,python -m pytest benchmark/test_reduction_perf.py -m std_mean -vs
stft,python -m pytest tests/test_special_ops.py -m stft -vs,Quick benchmark run
subtract,python -m pytest tests/test_binary_pointwise_ops.py -m subtract -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m subtract -vs
subtract_,python -m pytest tests/test_binary_pointwise_ops.py -m subtract_ -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m subtract_ -vs
sum,CUDA_VISIBLE_DEVICES=7 python -m pytest tests/test_reduction_ops.py -m sum -vs,CUDA_VISIBLE_DEVICES=7 python -m pytest benchmark/test_reduction_perf.py -m sum -vs
svd,python -m pytest tests/test_special_ops.py -m svd -vs,python -m pytest benchmark/test_special_perf.py -m svd -vs
sym_constrain_range,python -m pytest tests/test_special_ops.py -m 'sym_constrain_range or sym_constrain_range_for_size' -vs,python -m pytest benchmark/test_special_perf.py -m sym_constrain_range -vs
sym_constrain_range_for_size,CUDA_VISIBLE_DEVICES=0 /usr/bin/python3 -m pytest tests/test_special_ops.py -m sym_constrain_range_for_size -vs,CUDA_VISIBLE_DEVICES=0 /usr/bin/python3 -m pytest benchmark/test_special_perf.py -m sym_constrain_range_for_size -vs
sym_numel,python -m pytest tests/test_special_ops.py -m sym_numel -vs,python -m pytest benchmark/test_special_perf.py -m sym_numel -vs
sym_size,python -m pytest tests/test_special_ops.py -m sym_size -vs,python -m pytest benchmark/test_special_perf.py -m sym_size -vs
sym_storage_offset,python -m pytest tests/test_special_ops.py -m sym_storage_offset -vs,python -m pytest benchmark/test_special_perf.py -m sym_storage_offset -vs
sym_stride,python -m pytest tests/test_special_ops.py -m sym_stride -vs,python -m pytest benchmark/test_special_perf.py -m sym_stride -vs
t,python -m pytest tests/test_special_ops.py -m 't or t_' -vs,python -m pytest benchmark/test_special_perf.py -m t -vs
t_,python -m pytest tests/test_special_ops.py -m t_ -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m t_ -vs
tan_,python -m pytest tests/test_unary_pointwise_ops.py -m tan_ -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m tan_ -vs
tensor_split,python -m pytest tests/test_special_ops.py -m tensor_split -vs,python -m pytest benchmark/test_special_perf.py -m tensor_split -vs
threshold_,python -m pytest tests/test_unary_pointwise_ops.py -m threshold_ -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_unary_pointwise_perf.py -m threshold_ -vs
tile,CUDA_VISIBLE_DEVICES=1 /usr/bin/python3 -m pytest tests/test_unary_pointwise_ops.py -m tile -vs,CUDA_VISIBLE_DEVICES=1 /usr/bin/python3 -m pytest benchmark/test_tensor_concat_perf.py -m tile -vs
to,python -m pytest tests/test_unary_pointwise_ops.py -m to_copy -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m to_copy -vs
transpose,python -m pytest tests/test_special_ops.py -m transpose -vs,python -m pytest benchmark/test_special_perf.py -m transpose -vs
transpose_,python -m pytest tests/test_special_ops.py -m transpose_ -vs,python -m pytest benchmark/test_special_perf.py -m transpose_ -vs
transpose_copy,python -m pytest tests/test_special_ops.py -m transpose_copy -vs,python -m pytest benchmark/test_generic_pointwise_perf.py -m transpose_copy -vs
triangular_solve,python -m pytest tests/test_blas_ops.py -m triangular_solve -vs,python -c manual benchmark
tril_,python -m pytest tests/test_unary_pointwise_ops.py -m tril_ -vs,python -m pytest benchmark/test_generic_pointwise_perf.py -m tril_ -vs
tril_indices,python -m pytest tests/test_special_ops.py -m tril_indices -vs,python -m pytest benchmark/test_special_perf.py -m tril_indices -vs
triu_,python -m pytest tests/test_unary_pointwise_ops.py -m triu_ -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_generic_pointwise_perf.py -m triu_ -vs
triu_indices,python -m pytest tests/test_special_ops.py -m triu_indices -vs,python -m pytest benchmark/test_special_perf.py -m triu_indices -vs
true_divide,python -m pytest tests/test_binary_pointwise_ops.py -m true_divide -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m true_divide -vs
true_divide_,python -m pytest tests/test_binary_pointwise_ops.py -m true_divide_ -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m true_divide -vs
trunc_,python -m pytest tests/test_unary_pointwise_ops.py -m trunc -vs && python -m pytest tests/test_unary_pointwise_ops.py -m trunc_ -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m trunc -vs && python -m pytest benchmark/test_unary_pointwise_perf.py -m trunc_ -vs
unbind_copy,python -m pytest tests/test_special_ops.py -m unbind_copy -vs,python -m pytest benchmark/test_special_perf.py -m unbind_copy -vs
unfold_backward,python -m pytest tests/test_special_ops.py -m unfold -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m unfold -vs
unfold_copy,python -m pytest tests/test_special_ops.py -m unfold_copy -vs,python -m pytest benchmark/test_special_perf.py -m unfold_copy -vs
uniform,python -m pytest tests/test_distribution_ops.py -m uniform_ -vs,python -m pytest benchmark/test_distribution_perf.py -m uniform_ -vs
uniform_,python -m pytest tests/test_distribution_ops.py -m uniform_ -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_distribution_perf.py -m uniform_ -vs
unique_consecutive,python -m pytest tests/test_special_ops.py -m unique_consecutive -vs,python -m pytest benchmark/test_special_perf.py -m unique_consecutive -vs
unique_dim,python -m pytest tests/test_special_ops.py -m unique_dim -vs,python -m pytest benchmark/test_special_perf.py -m unique_dim -vs
unsafe_chunk,python -m pytest tests/test_special_ops.py -m unsafe_chunk -vs,python -m pytest benchmark/test_special_perf.py -m unsafe_chunk -vs
unsafe_split,python -m pytest tests/test_special_ops.py -m unsafe_split -vs,python -m pytest benchmark/test_special_perf.py -m unsafe_split -vs
unsafe_split_with_sizes,python -m pytest tests/test_special_ops.py -m unsafe_split_with_sizes -vs,python -m pytest benchmark/test_tensor_concat_perf.py -m unsafe_split_with_sizes -vs
unsqueeze,python -m pytest tests/test_special_ops.py -m unsqueeze -vs,python -m pytest benchmark/test_special_perf.py -m unsqueeze -vs
unsqueeze_,python -m pytest tests/test_special_ops.py -m unsqueeze_ -vs,python -m pytest benchmark/test_special_perf.py -m unsqueeze -vs
unsqueeze_copy,python -m pytest tests/test_special_ops.py -m unsqueeze_copy -vs,python -m pytest benchmark/test_special_perf.py -m unsqueeze_copy -vs
upsample_bicubic2d,python -m pytest tests/test_special_ops.py -m upsample_bicubic2d -vs,python -m pytest benchmark/test_special_perf.py -m upsample_bicubic2d -vs
upsample_bicubic2d_backward,python -m pytest tests/test_special_ops.py -m upsample_bicubic2d_backward -vs,python -m pytest benchmark/test_special_perf.py -m upsample_bicubic2d_backward -vs
upsample_bilinear2d_backward,CUDA_VISIBLE_DEVICES=0 /usr/bin/python3 -m pytest tests/test_special_ops.py -m upsample_bilinear2d_backward -vs,CUDA_VISIBLE_DEVICES=0 /usr/bin/python3 -m pytest benchmark/test_special_perf.py -m upsample_bilinear2d_backward -vs
upsample_linear1d,python -m pytest tests/test_special_ops.py -m upsample_linear1d -vs,python -m pytest benchmark/test_special_perf.py -m upsample_linear1d -vs
upsample_nearest2d_backward,python -m pytest tests/test_special_ops.py -m upsample_nearest2d_backward -vs,python -m pytest benchmark/test_special_perf.py -m upsample_nearest2d_backward -vs
upsample_trilinear3d,python -m pytest tests/test_special_ops.py -m upsample_trilinear3d -vs,python -m pytest benchmark/test_special_perf.py -m upsample_trilinear3d -vs
var,python -m pytest tests/test_reduction_ops.py -m var -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_reduction_perf.py -m var -vs
view,python -m pytest tests/test_special_ops.py -m view -vs,python -m pytest benchmark/test_special_perf.py -m view -vs
view_as,python -m pytest tests/test_special_ops.py -m view_as -vs,python -m pytest benchmark/test_special_perf.py -m view_as -vs
view_as_real,python -m pytest tests/test_unary_pointwise_ops.py -m view_as_real -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m view_as_real -vs
view_copy,python -m pytest tests/test_unary_pointwise_ops.py -m view_copy -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m view_copy -vs
vstack,python -m pytest tests/test_special_ops.py -m vstack -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_tensor_concat_perf.py -m vstack -vs
where,python -m pytest tests/test_binary_pointwise_ops.py -m where -vs,python -m pytest benchmark/test_generic_pointwise_perf.py -m where -vs
zero_,python -m pytest tests/test_unary_pointwise_ops.py -m zero_ -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m zero_ -vs
special_erfc,python -m pytest tests/test_unary_pointwise_ops.py -m erfc -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_unary_pointwise_perf.py -m erfc -vs
__ixor__,python -m pytest tests/test_binary_pointwise_ops.py -m xor -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m xor -vs
